bias_target,bias,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
rtt,0.0,stable,dapper,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
rtt,0.0,stable,dapper,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
rtt,0.0,stable,dapper,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
rtt,0.0,stable,dapper,usable_confidence_proxy,0.7959976928158301,0.0030581965746421004,0.7949187491188087,0.7970282591916404,30
rtt,0.0,stable,dapper,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
rtt,0.0,stable,dapper,bandwidth_per_1000_frames_kb,21621.666666666668,335.8425671130112,21501.645833333336,21735.0,30
rtt,0.0,stable,dapper,remote_attempt_rate,0.8648666666666667,0.013433702684520463,0.8600658333333333,0.8694,30
rtt,0.0,stable,dapper,remote_accept_rate,0.5119299636219802,0.019710509684781493,0.5048710537106218,0.5185291640553195,30
rtt,0.0,stable,dapper,remote_accepted_per_frame,0.4427,0.01712862093609448,0.43670000000000003,0.44869999999999993,30
rtt,0.0,stable,dapper,remote_rejected_deadline_rate,0.47690963533308023,0.018550469460783117,0.47058399999723577,0.48349712111243753,30
rtt,0.0,stable,dapper,remote_failed_loss_rate,0.011160401044939667,0.0032782175425864904,0.010069906399418155,0.012335025962814114,30
rtt,0.0,stable,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,stable,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,stable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,stable,dapper,mode_switches_per_1000,233.3,23.550605819867112,225.26666666666668,241.90083333333334,30
rtt,0.0,stable,dapper,pct_local_fast,13.513333333333334,1.3433702684520452,13.06,13.993416666666668,30
rtt,0.0,stable,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
rtt,0.0,stable,dapper,pct_hybrid,86.48666666666666,1.3433702684520459,86.00658333333332,86.93999999999998,30
rtt,0.0,stable,dapper,pct_degraded_safe,0.0,0.0,0.0,0.0,30
rtt,0.0,congested,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
rtt,0.0,congested,dapper,p95_latency_ms,33.93663339562628,0.10384597263558462,33.89863800925726,33.97238476351824,30
rtt,0.0,congested,dapper,p99_latency_ms,34.76774120719711,0.0574407179719229,34.74658413465894,34.7871629365586,30
rtt,0.0,congested,dapper,mean_latency_ms,24.831886454720813,0.19570763546815947,24.76464899629824,24.902166867111045,30
rtt,0.0,congested,dapper,usable_confidence_proxy,0.724962592880273,0.001562881778886257,0.7244059800112123,0.7255382569621288,30
