swept_parameter,swept_value,profile,policy,metric,mean,std,ci_lo,ci_hi,n_seeds
risk_local_threshold,0.3,outage,dapper,bandwidth_per_1000_frames_kb,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,remote_attempt_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,remote_accept_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,remote_accepted_per_frame,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,remote_rejected_deadline_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,remote_failed_loss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,fallback_rate,1.0,0.0,1.0,1.0,30
risk_local_threshold,0.3,outage,dapper,reuse_rate,0.7340333333333333,0.0029300268721061903,0.7329666666666668,0.7350333333333333,30
risk_local_threshold,0.3,outage,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,mode_switches_per_1000,418.43333333333334,10.48375864860971,414.6666666666667,422.1333333333333,30
risk_local_threshold,0.3,outage,dapper,pct_local_fast,22.63,0.6012343624749752,22.419916666666666,22.84333333333333,30
risk_local_threshold,0.3,outage,dapper,pct_edge_accurate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,pct_hybrid,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.3,outage,dapper,pct_degraded_safe,77.36999999999999,0.6012343624749765,77.15666666666668,77.58008333333335,30
risk_local_threshold,0.35,stable,dapper,deadline_miss_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,stable,dapper,p95_latency_ms,33.984265110354684,0.14612908292769589,33.9343159514038,34.036015368498674,30
risk_local_threshold,0.35,stable,dapper,p99_latency_ms,34.78401367177919,0.06560311317343774,34.76065987728268,34.806824911760046,30
risk_local_threshold,0.35,stable,dapper,mean_latency_ms,25.02027748999063,0.19474756789946776,24.952896569039584,25.094599531312916,30
risk_local_threshold,0.35,stable,dapper,usable_confidence_proxy,0.7959976928158301,0.0030581965746421004,0.7949187491188087,0.7970282591916404,30
risk_local_threshold,0.35,stable,dapper,mean_output_confidence,0.7249667322554326,0.0015304909747104968,0.7244513387101592,0.7255071023390036,30
risk_local_threshold,0.35,stable,dapper,bandwidth_per_1000_frames_kb,21621.666666666668,335.8425671130112,21501.645833333336,21735.0,30
risk_local_threshold,0.35,stable,dapper,remote_attempt_rate,0.8648666666666667,0.013433702684520463,0.8600658333333333,0.8694,30
risk_local_threshold,0.35,stable,dapper,remote_accept_rate,0.5119299636219802,0.019710509684781493,0.5048710537106218,0.5185291640553195,30
risk_local_threshold,0.35,stable,dapper,remote_accepted_per_frame,0.4427,0.01712862093609448,0.43670000000000003,0.44869999999999993,30
risk_local_threshold,0.35,stable,dapper,remote_rejected_deadline_rate,0.47690963533308023,0.018550469460783117,0.47058399999723577,0.48349712111243753,30
risk_local_threshold,0.35,stable,dapper,remote_failed_loss_rate,0.011160401044939667,0.0032782175425864904,0.010069906399418155,0.012335025962814114,30
risk_local_threshold,0.35,stable,dapper,fallback_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,stable,dapper,reuse_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,stable,dapper,stale_acceptance_rate,0.0,0.0,0.0,0.0,30
risk_local_threshold,0.35,stable,dapper,mode_switches_per_1000,233.3,23.550605819867112,225.26666666666668,241.90083333333334,30
