variant,profile,seed,deadline_ms,frames,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,mean_final_latency_ms,deadline_miss_rate,mean_output_confidence,usable_confidence_proxy,total_bandwidth_kb,bandwidth_per_frame_kb,bandwidth_per_1000_frames_kb,fallback_rate,reuse_rate,stale_acceptance_rate,remote_attempt_rate,remote_success_rate,remote_accept_rate,remote_accepted_per_frame,remote_rejected_deadline_rate,remote_rejected_freshness_rate,remote_failed_loss_rate,remote_unreachable_rate,pct_local_fast,pct_edge_accurate,pct_hybrid,pct_degraded_safe,mode_switches,mode_switches_per_1000
dapper_full,variable,100,100.0,1000,19.847097399190012,33.61420558459003,34.76027410675784,34.95054826151675,21.97468170885308,0.0,0.7259116438296801,0.7309100495998946,5375.0,5.375,5375.0,0.284,0.216,0.0,0.215,0.9116279069767442,0.15348837209302327,0.033,0.7581395348837209,0.0,0.08837209302325581,0.0,56.89999999999999,0.0,21.5,21.6,342,342.0
dapper_full,variable,101,100.0,1000,19.873228370530978,33.51859359353788,34.716729365681125,34.99816501848515,22.429717590864318,0.0,0.7275598148950951,0.7338505135735993,6025.0,6.025,6025.0,0.256,0.2,0.0,0.241,0.9294605809128631,0.15767634854771784,0.038,0.7717842323651453,0.0,0.07053941908713693,0.0,55.900000000000006,0.0,24.099999999999998,20.0,331,331.0
dapper_full,variable,102,100.0,1000,21.725835154751234,33.952084801243224,34.85412725538718,34.995332379528136,24.55018827202417,0.0,0.7253923428217819,0.7325011631642455,6075.0,6.075,6075.0,0.167,0.131,0.0,0.243,0.9012345679012346,0.1728395061728395,0.042,0.7283950617283951,0.0,0.09876543209876543,0.0,62.6,0.0,24.3,13.100000000000001,304,304.0
dapper_full,variable,103,100.0,1000,19.512093113412188,33.581179869308166,34.6745142049723,34.99051342908312,21.536858533775952,0.0,0.7264145780785138,0.7316018841146493,5975.0,5.975,5975.0,0.315,0.239,0.0,0.239,0.9079497907949791,0.12552301255230125,0.03,0.7824267782426778,0.0,0.09205020920502092,0.0,52.2,0.0,23.9,23.9,358,358.0
dapper_full,variable,104,100.0,1000,21.518439904160722,33.92297556550541,34.71580596411837,34.944614204784195,24.19286560109536,0.0,0.727405744674525,0.7335000817049102,5675.0,5.675,5675.0,0.187,0.143,0.0,0.227,0.920704845814978,0.1762114537444934,0.04,0.7444933920704846,0.0,0.07929515418502203,0.0,63.0,0.0,22.7,14.299999999999999,297,297.0
dapper_full,variable,105,100.0,1000,20.409246302565197,33.52133876628223,34.7773651787171,34.98077376103997,23.376413958481,0.0,0.726150768098847,0.7330994621409599,6100.0,6.1,6100.0,0.238,0.184,0.0,0.244,0.9467213114754098,0.1762295081967213,0.043,0.7704918032786885,0.0,0.05327868852459016,0.0,57.199999999999996,0.0,24.4,18.4,334,334.0
dapper_full,variable,106,100.0,1000,21.59372391817589,33.5305156645498,34.67586933903363,34.993851868805095,24.22464112131524,0.0,0.7255234671581106,0.7321782081483472,5525.0,5.525,5525.0,0.175,0.136,0.0,0.221,0.9366515837104072,0.18099547511312217,0.04,0.755656108597285,0.0,0.06334841628959276,0.0,64.3,0.0,22.1,13.600000000000001,290,290.0
dapper_full,variable,107,100.0,1000,20.056441701403287,33.56666120695883,34.6268453225655,34.98148819897819,22.290948278842663,0.0,0.7240116849833446,0.729203334796121,4925.0,4.925,4925.0,0.261,0.201,0.0,0.197,0.9137055837563451,0.16751269035532995,0.033,0.7461928934010152,0.0,0.08629441624365482,0.0,60.199999999999996,0.0,19.7,20.1,301,301.0
dapper_full,variable,108,100.0,1000,20.480881005394448,33.99159903353784,34.77692101060002,34.94872090187498,23.301428970536026,0.0,0.7260048286422379,0.7332002127738215,6000.0,6.0,6000.0,0.26,0.196,0.0,0.24,0.925,0.175,0.042,0.75,0.0,0.075,0.0,56.39999999999999,0.0,24.0,19.6,334,334.0
dapper_full,variable,109,100.0,1000,21.210997956041414,33.76823065319891,34.76110730262953,34.98660651522982,23.060011675214664,0.0,0.7239038673745836,0.7281507289543079,5375.0,5.375,5375.0,0.203,0.156,0.0,0.215,0.9348837209302325,0.12558139534883722,0.027,0.8093023255813954,0.0,0.06511627906976744,0.0,62.9,0.0,21.5,15.6,311,311.0
